2026-04-18 21:11:49 | INFO     | BaseTransformer | check_duplicates:72 | [test_table] No duplicates found on ['id']
2026-04-18 21:11:49 | WARNING  | BaseTransformer | check_duplicates:66 | [test_table] Found 1 duplicate records on ['id']. Removing...
2026-04-18 21:11:49 | WARNING  | BaseTransformer | check_nulls:42 | [test_table] Column 'id' has 1 null values (25.00%)
2026-04-18 21:11:49 | WARNING  | BaseTransformer | check_nulls:42 | [test_table] Column 'name' has 1 null values (25.00%)
2026-04-18 21:11:49 | INFO     | BaseTransformer | validate_amounts:152 | [test] 'amount' stats: mean=-12, median=25, std=217
2026-04-18 21:11:49 | WARNING  | BaseTransformer | validate_amounts:144 | [test] Column 'amount': 1 negative values found
2026-04-18 21:11:49 | INFO     | BaseTransformer | validate_amounts:152 | [test] 'amount' stats: mean=138, median=150, std=149
2026-04-18 21:11:49 | INFO     | DimensionTransformer | transform_dim_customers:33 | Transforming dim_customers...
2026-04-18 21:11:49 | INFO     | DimensionTransformer | check_duplicates:72 | [dim_customers] No duplicates found on ['customer_id']
2026-04-18 21:11:49 | INFO     | DimensionTransformer | validate_date_range:116 | [dim_customers] Date range for 'created_at': 2025-01-01 00:00:00 to 2025-02-01 00:00:00
2026-04-18 21:11:49 | INFO     | DimensionTransformer | transform_dim_customers:70 | dim_customers: 2 rows
2026-04-18 21:11:49 | INFO     | DimensionTransformer | transform_dim_date:230 | Generating dim_date from 2025-01-01 to 2025-01-31...
2026-04-18 21:11:49 | INFO     | DimensionTransformer | transform_dim_date:262 | dim_date: 31 rows generated
2026-04-18 21:11:49 | INFO     | DimensionTransformer | transform_dim_locations:130 | Transforming dim_locations...
2026-04-18 21:11:49 | INFO     | DimensionTransformer | check_duplicates:72 | [dim_locations] No duplicates found on ['location_id']
2026-04-18 21:11:49 | INFO     | DimensionTransformer | transform_dim_locations:159 | dim_locations: 1 rows
2026-04-18 21:11:49 | INFO     | DimensionTransformer | transform_dim_products:86 | Transforming dim_products...
2026-04-18 21:11:49 | INFO     | DimensionTransformer | check_duplicates:72 | [dim_products] No duplicates found on ['product_id']
2026-04-18 21:11:49 | INFO     | DimensionTransformer | validate_amounts:152 | [dim_products] 'price_vnd' stats: mean=25,000,000, median=25,000,000, std=nan
2026-04-18 21:11:49 | INFO     | DimensionTransformer | validate_amounts:152 | [dim_products] 'price_usd' stats: mean=999, median=999, std=nan
2026-04-18 21:11:49 | INFO     | DimensionTransformer | transform_dim_products:114 | dim_products: 1 rows
2026-04-18 21:11:49 | INFO     | DimensionTransformer | update_customer_aggregates:278 | Updating customer aggregates...
